INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:38:53,571 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:38:53 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:38:53,602 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.c.s.PropertySourcesPlaceholderConfigurer 2017-10-08 13:38:53,782 - Loading properties file from class path resource [configuration.properties]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:38:53,786 - Loading properties file from class path resource [configuration.properties]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:38:53,880 - Initializing EhCache CacheManager
ERROR [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.j.p.p.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:38:53,983 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.config.PropertiesFactoryBean 2017-10-08 13:38:54,009 - Loading properties file from class path resource [configuration.properties]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:38:54,023 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:38:54,028 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@2e03c7a4: startup date [Sun Oct 08 13:38:54 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 13:38:54,177 - Root WebApplicationContext: initialization completed in 663 ms
INFO  [net.sf.ehcache.CacheManager@49956e4] net.sf.ehcache.util.UpdateChecker 2017-10-08 13:38:55,165 - This is the latest GA release.
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:39:44,211 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:38:53 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:39:44,212 - Closing org.springframework.web.context.support.GenericWebApplicationContext@2e03c7a4: startup date [Sun Oct 08 13:38:54 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:39:44,213 - Shutting down EhCache CacheManager
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 13:40:30,849 - Root WebApplicationContext: initialization started
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:40:30,909 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:40:30 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:40:30,941 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.c.s.PropertySourcesPlaceholderConfigurer 2017-10-08 13:40:31,112 - Loading properties file from class path resource [configuration.properties]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 13:40:31,117 - Loading properties file from class path resource [configuration.properties]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:40:31,205 - Initializing EhCache CacheManager
ERROR [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.j.p.p.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 13:40:31,294 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.config.PropertiesFactoryBean 2017-10-08 13:40:31,311 - Loading properties file from class path resource [configuration.properties]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:40:31,320 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:40:31,323 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@61152825: startup date [Sun Oct 08 13:40:31 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 13:40:31,452 - Root WebApplicationContext: initialization completed in 601 ms
INFO  [net.sf.ehcache.CacheManager@2aecb833] net.sf.ehcache.util.UpdateChecker 2017-10-08 13:40:32,500 - This is the latest GA release.
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:41:40,583 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:40:30 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:41:40,585 - Closing org.springframework.web.context.support.GenericWebApplicationContext@61152825: startup date [Sun Oct 08 13:40:31 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:41:40,586 - Shutting down EhCache CacheManager
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:43:12,370 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:43:12,422 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:43:12 BST 2017]; root of context hierarchy
