INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:33:45,865 - Mapped URL path [/findCity/] onto handler 'findCityController'
INFO  [main] o.s.web.servlet.DispatcherServlet 2017-10-08 13:33:45,903 - FrameworkServlet 'AjaxServlet': initialization completed in 71 ms
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:35:07,032 - Closing WebApplicationContext for namespace 'AjaxServlet-servlet': startup date [Sun Oct 08 13:33:45 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:35:07,034 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:33:45 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:35:07,034 - Closing org.springframework.web.context.support.GenericWebApplicationContext@65608c4: startup date [Sun Oct 08 13:33:45 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:35:07,035 - Shutting down EhCache CacheManager
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:35:50,643 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:35:50,686 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:35:50 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:35:50,709 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/jmxContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:35:50,733 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/viewContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:35:50,738 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:35:50,787 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/overlay/overlayContext.xml]
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:35:51,173 - Initializing EhCache CacheManager
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:35:51,220 - Loading XML bean definitions from ServletContext resource [/WEB-INF/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:35:51,225 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@643b96cb: startup date [Sun Oct 08 13:35:51 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 13:35:51,507 - Root WebApplicationContext: initialization completed in 862 ms
INFO  [main] o.s.web.servlet.DispatcherServlet 2017-10-08 13:35:51,515 - FrameworkServlet 'AjaxServlet': initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:35:51,517 - Refreshing WebApplicationContext for namespace 'AjaxServlet-servlet': startup date [Sun Oct 08 13:35:51 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:35:51,517 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/servlet/ajax-servlet.xml]
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:35:51,545 - Mapped URL path [/json] onto handler 'ajaxResponseController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:35:51,545 - Mapped URL path [/json.*] onto handler 'ajaxResponseController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:35:51,545 - Mapped URL path [/json/] onto handler 'ajaxResponseController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:35:51,545 - Mapped URL path [/findCity] onto handler 'findCityController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:35:51,545 - Mapped URL path [/findCity.*] onto handler 'findCityController'
INFO  [main] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:35:51,545 - Mapped URL path [/findCity/] onto handler 'findCityController'
INFO  [main] o.s.web.servlet.DispatcherServlet 2017-10-08 13:35:51,582 - FrameworkServlet 'AjaxServlet': initialization completed in 67 ms
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:38:05,771 - Closing WebApplicationContext for namespace 'AjaxServlet-servlet': startup date [Sun Oct 08 13:35:51 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:38:05,774 - Closing Root WebApplicationContext: startup date [Sun Oct 08 13:35:50 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:38:05,836 - Closing org.springframework.web.context.support.GenericWebApplicationContext@643b96cb: startup date [Sun Oct 08 13:35:51 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:38:05,836 - Shutting down EhCache CacheManager
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 13:38:22,257 - Root WebApplicationContext: initialization started
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:38:22,311 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 13:38:22 BST 2017]; root of context hierarchy
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:38:22,341 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/jmxContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:38:22,369 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/viewContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:38:22,371 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:38:22,437 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/overlay/overlayContext.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 13:38:22,877 - Initializing EhCache CacheManager
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:38:22,927 - Loading XML bean definitions from ServletContext resource [/WEB-INF/views.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 13:38:22,930 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@6314bc49: startup date [Sun Oct 08 13:38:22 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 13:38:23,244 - Root WebApplicationContext: initialization completed in 985 ms
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.servlet.DispatcherServlet 2017-10-08 13:38:23,253 - FrameworkServlet 'AjaxServlet': initialization started
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 13:38:23,254 - Refreshing WebApplicationContext for namespace 'AjaxServlet-servlet': startup date [Sun Oct 08 13:38:23 BST 2017]; parent: Root WebApplicationContext
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 13:38:23,255 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/servlet/ajax-servlet.xml]
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:38:23,283 - Mapped URL path [/json] onto handler 'ajaxResponseController'
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:38:23,283 - Mapped URL path [/json.*] onto handler 'ajaxResponseController'
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.s.m.a.DefaultAnnotationHandlerMapping 2017-10-08 13:38:23,283 - Mapped URL path [/json/] onto handler 'ajaxResponseController'
