INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 14:03:30,573 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@6248049f: startup date [Sun Oct 08 14:03:30 BST 2017]; parent: Root WebApplicationContext
ERROR [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 14:03:30,741 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [ContainerBackgroundProcessor[StandardEngine[Catalina]]] o.s.web.context.ContextLoader 2017-10-08 14:03:30,780 - Root WebApplicationContext: initialization completed in 856 ms
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 14:04:49,464 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 14:04:49,515 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 14:04:49 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 14:04:49,542 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 14:04:49,745 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 14:04:49,827 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 14:04:49,877 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 14:04:49,885 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@7e00439: startup date [Sun Oct 08 14:04:49 BST 2017]; parent: Root WebApplicationContext
ERROR [main] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 14:04:50,041 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 14:04:50,078 - Root WebApplicationContext: initialization completed in 612 ms
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 14:05:02,019 - Closing Root WebApplicationContext: startup date [Sun Oct 08 14:04:49 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 14:05:02,020 - Closing org.springframework.web.context.support.GenericWebApplicationContext@7e00439: startup date [Sun Oct 08 14:04:49 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 15:36:37,105 - Closing Root WebApplicationContext: startup date [Sun Oct 08 14:03:29 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 15:36:37,106 - Closing org.springframework.web.context.support.GenericWebApplicationContext@6248049f: startup date [Sun Oct 08 14:03:30 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 15:40:18,153 - Root WebApplicationContext: initialization started
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 15:40:18,206 - Refreshing Root WebApplicationContext: startup date [Sun Oct 08 15:40:18 BST 2017]; root of context hierarchy
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 15:40:18,233 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 15:40:18,445 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/casContext.xml]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 15:40:18,530 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 15:40:18,581 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 15:40:18,589 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@bef6ec2: startup date [Sun Oct 08 15:40:18 BST 2017]; parent: Root WebApplicationContext
ERROR [main] o.j.p.e.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 15:40:18,754 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 15:40:18,792 - Root WebApplicationContext: initialization completed in 637 ms
